L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Energia
0;2719.98;3469.749;0;7094.983;244;0;2314.92;2532.15;11357;27640;5519.4;130350.7
0;211.14;3716.254;0;5797.892;338.5;0;1477.8;3690.9;0;14030;14053.6;123376.152
0;0;4316.914;0;6126.825;0;0;0;1077;6258;17180;16197.2;114108.1821
0;0;1328.012;0;6236.496;279.1;0;2965.68;1452.36;6306;0;14458.9;111824.64
585.9;2086.56;0;2010.294;6332.61;276.5;0;1344;1452.996;6007;0;17909.3;138676.8
3273;2305.635;0;3795.873;6388.091;477;616.2;2005.92;1912.032;9700;0;12316.9;147834.3
2765.7;0;0;3248.165;4218.27;497.9;582.96;932.88;1636.128;10514;0;14252.4;132663.6
2899.95;1870.176;0;888.466;5675.106;0;192.6;1855.44;1537.2;9476;0;8930.9;147132
2614.8;1564.92;0;2598.131;4945.175;231.5;0;1979.04;1684.8;6330;0;11774.7;133344
0;0;0;2061.244;7012.305;0;0;0;803.52;9700;0;10206.8;101712
0;0;0;2758.435;5417.512;316.1;560.64;1924.32;1882.11;7781;0;14530.9;123208
0;1567.542;1559.5;0;6691.322;109;0;2017.44;1902.06;6389;0;8750.6;131105
2363.4;3446.895;4269.201;0;7279.906;224;598.2;1818.6;2220;9696;0;5117.3;134796
2980.95;3016.197;3213.318;0;3225.66;552;0;2503.2;1143;9577;0;15607.6;135487
2469;2678.511;3000.403;0;4264.672;315.3;180.897;1993.32;3685.35;10174;3709;11015.5;141980
2894.85;1105.38;3329.83;0;5367.034;223;0;1993.32;4037.04;6336;20095;15841.7;144610
507.3;0;3330.042;0;6419.644;0;0;0;3800.52;10101;9550;8498.8;113431
0;633.42;1529.617;0;6155.594;0;179.533;2027.88;3061.92;6436;11330;12776.1;124362
2818.725;3023.58;3355.901;0;5804.67;0;0;1405.68;1574.58;5598;5080;1785.3;129461
3437.85;2583.36;3968.787;0;1959.638;120;0;0;994.68;6372;19773;15786.4;133493
3282;0;2889.217;0;6269.018;636;351;892.68;1457.82;16072;2432;13256.8;134474
3053.85;0;786.566;0;6694.993;309.2;607.44;1528.44;3900.24;3253;19002;15934.1;132785
1951.05;0;2168.212;0;6631.038;330;0;1200.96;3155.424;15400;10000;14122.2;137011
0;0;4186.132;0;6161.163;0;0;1633.8;822.6;4785;12230;5331.6;110192
0;1605.009;3798.046;0;3943.608;411.5;0;823.44;2106.96;6382;5800;0;114452
0;2940.987;3571.967;0;3903.257;328.4;0;2673.48;4441.35;9374;14900;14229.1;136808
2216.7;3041.52;3532.989;0;6781.18;120;587.28;2586.96;0;2914;15580;19431.9;139134
3343.2;1467.147;3551.051;0;6304.042;603.5;0;1819.08;2633.4;14071;5700;14365.9;144414
3412.5;2465.37;3864.373;0;7005.406;271;172.8;1845.6;4358.49;8355;28220;5315.8;140248
2438.25;2932.914;3354.026;0;6919.904;0;0;1885.92;3889.32;8470;7800;3517.5;118928
0;0;1747.026;0;4425.023;0;0;0;0;14644;10387;12515;95289
0;0;4416.236;0;3650.948;249;0;0;0;6279;10990;19101.5;103918
