L_501,L_503,L_511C,L_511R,L_512,L_521,L_551,L_561,L_562,Trasfega,Filtracao,Brassagem,Energia,anomaly
2353.8,3067.74,3814.87,0.0,4588.037,390.0,0.0,1123.68,1917.51,7265,10092.0,0.0,127844.2,1
2769.6,3021.027,4328.117,0.0,1958.226,0.0,125.88,0.0,1785.75,9486,14250.0,5057.5,119730.3,1
2997.9,2949.75,926.806,272.683,4134.262,0.0,436.44,567.36,1731.36,6318,6260.0,12831.6,137161.6,1
0.0,0.0,2532.229,0.0,7295.038,0.0,0.0,0.0,0.0,6435,4800.0,0.0,70482.8,1
0.0,1691.19,4275.997,0.0,4043.514,0.0,0.0,0.0,0.0,6324,9676.0,7037.8,82083.9,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,44254.3662,1
0.0,2528.091,2590.165,0.0,0.0,0.0,0.0,0.0,3718.92,9324,4500.0,11313.0,85749.5991,1
0.0,3288.747,3568.133,0.0,667.752,0.0,0.0,0.0,4324.68,6266,5150.0,12565.2,99554.9,1
0.0,418.485,3469.195,0.0,993.014,0.0,0.0,0.0,3442.74,0,11250.0,12264.0,95909.2,1
0.0,2018.25,4156.269,0.0,3549.711,0.0,0.0,0.0,4311.0,4890,5038.0,5688.0,96454.0,1
0.0,3415.5,3759.557,0.0,831.614,0.0,0.0,0.0,4999.32,4977,4242.0,13198.6,103109.0,1
0.0,3071.604,3320.436,0.0,0.0,0.0,0.0,0.0,3407.58,0,11277.0,12913.8,94963.0,1
0.0,3134.049,0.0,0.0,4222.627,0.0,0.0,0.0,1194.75,9275,10160.0,9210.0,96283.0,1
0.0,0.0,3375.986,0.0,3937.917,0.0,0.0,0.0,0.0,3131,6518.0,0.0,69226.0,1
0.0,322.92,2711.277,0.0,2017.339,0.0,0.0,0.0,4698.0,5947,3553.0,15534.9,93860.0,1
0.0,2574.39,3653.633,0.0,1352.4,0.0,0.0,0.0,3743.4,5844,0.0,12256.1,103166.0,1
0.0,2996.808,3229.889,0.0,2961.882,0.0,0.0,0.0,0.0,10114,6021.0,6391.0,86877.0,1
0.0,567.18,3740.749,0.0,3478.7,0.0,0.0,0.0,0.0,4832,9265.0,15866.8,93779.0,1
0.0,2993.91,2170.896,0.0,5513.545,0.0,0.0,607.8,784.08,2580,7433.0,14577.4,105259.0,1
0.0,2903.175,0.0,0.0,6169.677,0.0,0.0,0.0,3560.28,12115,7043.0,11582.6,103411.0,1
0.0,3246.174,3891.873,0.0,5854.866,0.0,0.0,0.0,4131.78,6177,11948.0,13635.3,118627.0,1
0.0,3395.283,3840.71,0.0,6328.131,0.0,179.928,0.0,3965.28,6355,11191.0,21531.7,119494.0,1
1203.3,947.922,3865.013,0.0,2807.174,0.0,0.0,1582.32,4732.32,9748,10939.0,13069.1,129132.0,1
0.0,3129.84,3717.787,0.0,4033.68,0.0,0.0,1886.4,4022.88,11557,6773.0,15799.1,124831.0,1
0.0,2996.808,4158.74,0.0,4005.585,0.0,0.0,1881.36,2747.1,9513,15554.0,10613.2,122331.0,1
0.0,1894.119,4031.152,0.0,5921.161,0.0,0.0,0.0,2967.63,6750,16517.0,5700.8,109008.0,1
1005.45,1004.295,1934.764,0.0,5265.554,0.0,0.0,1986.48,2181.18,12410,5938.0,10357.7,122755.0,1
3009.45,3005.364,4014.731,0.0,5250.1,0.0,0.0,2388.72,2053.62,10116,16953.0,14827.9,136153.0,1
3022.95,3160.062,4046.851,0.0,4385.522,0.0,0.0,2419.32,1879.2,9013,10477.0,9792.4,134053.0,1
3067.5,2790.705,4446.375,0.0,6036.279,0.0,0.0,2022.12,2193.0,6137,10802.0,10743.7,132222.0,1
3293.55,3255.213,3840.944,0.0,5953.843,0.0,0.0,3157.8,3197.28,11132,15003.0,15938.2,143401.0,1
1643.7,2786.841,3960.373,0.0,6031.881,0.0,0.0,2046.48,2388.33,5997,15916.0,14171.1,136597.0,1
0.0,0.0,4303.409,0.0,5986.891,0.0,0.0,0.0,3655.05,8648,13618.0,14048.1,115875.0,1
837.9,0.0,2340.273,0.0,2283.366,0.0,0.0,1544.64,3998.28,12122,10020.0,1772.4,108562.0,1
2770.2,0.0,3552.968,0.0,4447.8,0.0,0.0,2636.88,3879.21,3199,12335.0,6135.8,126497.0,1
3453.0,2694.519,3957.413,0.0,4431.0,0.0,123.0,2590.08,3385.734,12456,14037.0,17381.4,146045.0,1
2603.7,3355.608,3813.424,0.0,5080.32,0.0,420.72,3190.8,1530.432,9214,18720.0,15906.2,142225.0,1
2442.15,3384.45,4009.981,0.0,4896.696,0.0,538.92,0.0,2538.12,12533,15119.0,17863.5,142377.0,1
2866.5,2528.781,4247.817,0.0,4108.643,0.0,0.0,2249.88,2386.2,12300,13999.0,13481.7,145758.0,1
3240.45,0.0,4447.93,0.0,6681.073,0.0,0.0,0.0,3902.4,7933,12252.0,9300.3,124426.0,1
