L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Heat;;;
3412.5;2465.37;3864.373;0;7005.406;271;172.8;1845.6;4358.49;8355;28220;5315.8;864135.5855;;;
2438.25;2932.914;3354.026;0;6919.904;0;0;1885.92;3889.32;8470;7800;3517.5;942305.3074;;;
0;0;1747.026;0;4425.023;0;0;0;0;14644;10387;12515;728421.1084;;;
0;0;4416.236;0;3650.948;249;0;0;0;6279;10990;19101.5;802319.9851;;;
399.9;0;2425.73;0;6174.882;355.9;0;0;663.84;9869;9165;17749.7;691392.4701;;;
2246.4;372.6;3748.524;0;4391.21;0;0;1390.44;1761.54;6148;6218;14575.7;958055.0931;;;
2758.2;1994.1;3082.046;0;6423.68;257.2;0;797.88;1832.46;6284;17811;12205.7;1183427.995;;;
2242.8;2191.371;2604.074;0;4698.273;216.1;0;0;1318.98;15889;16120;8729.6;920218.7217;;;
2657.7;2731.779;2547.821;0;6266.436;0;0;0;0;9130;14140;0;575725.3679;;;
0;0;3608.774;0;6057.544;0;0;0;0;5824;11540;0;647246.6835;;;
0;0;4417.066;0;6747.73;30;802.44;0;0;9722;5810;10517.8;783496.6831;;;
2215.5;0;2566.011;0;6390.713;386.2;0;0;2263.44;2640;7912;15994.1;894129.6;;;
2976.6;0;3745.562;0;1858.602;623.5;0;0;1192.632;0;13833;3627;487067.5573;;;
2479.95;0;2407.837;0;2123.378;24.3;23.76;0;1469.88;9381;3340;1678.6;503443.7836;;;
3702;0;2431.097;0;6120.651;263.4;183.816;0;2332.368;9261;17710;18883.9;1116948.788;;;
2634;0;2157.051;0;6808.296;253;0;0;840;12451;17641;15203.1;1074882.416;;;
0;0;4558.924;0;6244.203;0;0;0;0;9161;10570;19493.4;679538.6835;;;
0;2424.522;3895.727;0;5221.936;215.1;0;811.8;3036.75;6294;10370;17561.9;800325.3215;;;
2353.8;3067.74;3814.87;0;4588.037;390;0;1123.68;1917.51;7265;10092;0;890059.6427;;;
2769.6;3021.027;4328.117;0;1958.226;0;125.88;0;1785.75;9486;14250;5057.5;640572.3183;;;
2997.9;2949.75;926.806;272.683;4134.262;0;436.44;567.36;1731.36;6318;6260;12831.6;841123.5283;;;
2392.2;1686.774;0;2537.555;10113.446;0;0;0;2446.56;6368;12104;8250.6;823259.7787;;;
2439.15;1393.386;0;3554.501;2784.956;0;0;0;2780.34;4917;12082;0;550260.2247;;;
0;0;0;1557.541;7820.476;0;0;0;0;3959;9670;0;323623.3418;;;
0;0;1021.548;0;7139.125;0;0;0;0;12809;9150;0;254159.1212;;;
0;0;2532.229;0;7295.038;0;0;0;0;6435;4800;0;411866.3196;;;
0;1691.19;4275.997;0;4043.514;0;0;0;0;6324;9676;7037.8;735604.8672;;;
0;3455.589;2531.036;0;4490.229;0;0;0;0;6281;920;0;343332.8481;;;
0;0;0;0;0;0;0;0;0;0;0;0;327859.4388;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;;;
0;0;0;0;0;0;0;0;0;4982;0;0;32292;;;
0;0;0;0;0;0;0;0;0;4895;6600;0;161460;;;
0;0;0;0;4099.479;0;0;1200;3420;5095;0;0;258336;;;
0;0;0;0;1101.434;0;0;0;5425.32;0;0;12401.8;653310.3834;;;
0;0;0;0;0;0;0;0;4380.24;0;0;3637.9;407013.7641;;;
0;0;0;0;0;0;0;0;3840.87;3613;0;0;256183.2;;;
0;0;0;0;0;0;0;0;1152.6;0;9000;0;96876;;;
0;0;0;0;0;0;0;0;0;5948;5;0;32292;;;
0;1719.204;2853.455;0;0;0;0;0;0;0;0;0;374721.7641;;;
0;2415.69;3072.12;0;0;0;0;0;0;0;9700;0;529445.1399;;;
0;2262.993;3364.91;0;0;0;0;0;0;0;8380;12340.4;630469.6887;;;
2813.4;0;2894.351;0;0;0;0;0;0;0;5360;12534.5;688511.2514;;;
0;0;0;0;0;0;0;0;0;12590;0;0;32292;;;
0;0;0;0;0;0;0;0;0;0;0;0;96876;;;
0;0;0;0;0;0;0;0;0;0;0;0;123570.3784;;;
0;1467.216;444.233;0;0;0;395.28;0;1555.44;0;867;0;590324.9675;;;
0;0;0;0;0;0;0;0;0;0;0;1047.8;170105.2833;;;
0;2528.091;2590.165;0;0;0;0;0;3718.92;9324;4500;11313;661993.0761;;;
0;3288.747;3568.133;0;667.752;0;0;0;4324.68;6266;5150;12565.2;851138.0551;;;
0;418.485;3469.195;0;993.014;0;0;0;3442.74;0;11250;12264;710232.6019;;;
0;0;4031.089;0;450.548;0;0;0;800.4;0;3150;3572.2;299275.5623;;;
0;0;1788.731;0;1723.55;0;0;0;0;3034;0;0;140166.4473;;;
0;0;0;0;3502.098;0;0;0;1756.8;0;7200;0;310726.5525;;;
0;2018.25;4156.269;0;3549.711;0;0;0;4311;4890;5038;5688;759818.6147;;;
0;3415.5;3759.557;0;831.614;0;0;0;4999.32;4977;4242;13198.6;518475.0276;;;
0;3071.604;3320.436;0;0;0;0;0;3407.58;0;11277;12913.8;561259.8756;;;
0;3134.049;0;0;4222.627;0;0;0;1194.75;9275;10160;9210;1054460.145;;;
0;0;3375.986;0;3937.917;0;0;0;0;3131;6518;0;463768.6441;;;
0;0;0;0;5406.214;0;0;0;0;0;8085;0;323623.3418;;;
0;322.92;2711.277;0;2017.339;0;0;0;4698;5947;3553;15534.9;774625.9316;;;
0;2574.39;3653.633;0;1352.4;0;0;0;3743.4;5844;0;12256.1;872341.3148;;;
0;2996.808;3229.889;0;2961.882;0;0;0;0;10114;6021;6391;289652.5753;;;
0;0;0;0;3693.522;0;0;0;0;6320;14200;1583.1;77265.9001;;;
0;567.18;3740.749;0;3478.7;0;0;0;0;4832;9265;15866.8;673808.9666;;;
0;2993.91;2170.896;0;5513.545;0;0;607.8;784.08;2580;7433;14577.4;861597.2095;;;
0;2903.175;0;0;6169.677;0;0;0;3560.28;12115;7043;11582.6;755121.1308;;;
0;3246.174;3891.873;0;5854.866;0;0;0;4131.78;6177;11948;13635.3;489561.1192;;;
0;3395.283;3840.71;0;6328.131;0;179.928;0;3965.28;6355;11191;21531.7;844373.6298;;;
1203.3;947.922;3865.013;0;2807.174;0;0;1582.32;4732.32;9748;10939;13069.1;935550.1919;;;
756.45;888.03;3322.374;0;4524.492;0;799.2;1835.16;4539.48;6156;9308;6744.9;873400.2553;;;
0;3129.84;3717.787;0;4033.68;0;0;1886.4;4022.88;11557;6773;15799.1;586940.1749;;;
0;2996.808;4158.74;0;4005.585;0;0;1881.36;2747.1;9513;15554;10613.2;532649.4748;;;
0;1894.119;4031.152;0;5921.161;0;0;0;2967.63;6750;16517;5700.8;890786.8899;;;
1005.45;1004.295;1934.764;0;5265.554;0;0;1986.48;2181.18;12410;5938;10357.7;868097.5959;;;
3009.45;3005.364;4014.731;0;5250.1;0;0;2388.72;2053.62;10116;16953;14827.9;852391.9362;;;
3022.95;3160.062;4046.851;0;4385.522;0;0;2419.32;1879.2;9013;10477;9792.4;930066.5774;;;
3067.5;2790.705;4446.375;0;6036.279;0;0;2022.12;2193;6137;10802;10743.7;911515.1644;;;
3293.55;3255.213;3840.944;0;5953.843;0;0;3157.8;3197.28;11132;15003;15938.2;930949.3646;;;
1643.7;2786.841;3960.373;0;6031.881;0;0;2046.48;2388.33;5997;15916;14171.1;1025613.137;;;
0;0;4303.409;0;5986.891;0;0;0;3655.05;8648;13618;14048.1;538855.5167;;;
837.9;0;2340.273;0;2283.366;0;0;1544.64;3998.28;12122;10020;1772.4;367406.9256;;;
2770.2;0;3552.968;0;4447.8;0;0;2636.88;3879.21;3199;12335;6135.8;831392.0423;;;
3453;2694.519;3957.413;0;4431;0;123;2590.08;3385.734;12456;14037;17381.4;1114585.04;;;
2603.7;3355.608;3813.424;0;5080.32;0;420.72;3190.8;1530.432;9214;18720;15906.2;1077676.471;;;
2442.15;3384.45;4009.981;0;4896.696;0;538.92;0;2538.12;12533;15119;17863.5;1237826.794;;;
2866.5;2528.781;4247.817;0;4108.643;0;0;2249.88;2386.2;12300;13999;13481.7;1471341.172;;;
3240.45;0;4447.93;0;6681.073;0;0;0;3902.4;7933;12252;9300.3;962571.9909;;;
1349.25;0;1988.483;0;4339.279;0;0;1944.12;4326.36;6100;10372;8687.7;242531.423;;;
0;0;3222.115;0;6069.124;0;451.68;2700.84;4756.44;6106;12177;13348;892087.1942;;;
0;1831.95;4448.74;0;5391.002;0;346.68;2984.52;2039.25;12587;15601;14135.9;943514.4423;;;
0;3086.784;4328.458;0;5174.322;0;0;2261.16;3377.85;9494;8350;16020.5;536493.5113;;;
1514.25;2704.041;4076.138;0;5305.904;0;0;2662.56;2750.55;14633;15800;12934.4;1026044.701;;;
3073.95;3407.841;3317.092;0;5675.469;0;0;2439.72;4037.28;5862;14019;11696.6;1041047.562;;;
3152.55;2857.842;4064.976;0;6148.614;0;0;0;4443.36;9519;16001;14568.8;536181.7641;;;
0;0;1128.091;0;2048.368;0;0;1901.52;2648.064;5039;3367;2276.2;1379419.874;;;
0;0;3033.334;0;3970.238;0;0;1582.56;1262.364;5448;8234;10644.5;925875.8939;;;
0;1134.015;3810.783;0;4861.529;0;0;1565.88;2786.97;12228;11033;9930;608963.7273;;;
723.45;3207.12;4065.254;0;6039.83;0;0;2635.92;3137.88;2606;14588;5702;1028683.773;;;
2820.9;0;2535.296;0;5610.668;0;0;2042.04;1117.14;9122;10670;7653.7;471187.4189;;;
1678.05;0;4442.37;0;6064.403;11.7;0;2526.36;1288.98;0;10531;10168.9;917944.6019;;;
0;0;3953.749;0;5453.828;0;0;0;311.67;12118;8920;13091.7;904485.7501;;;
0;0;1777.911;0;3812.591;80;0;0;3555.72;5894;11209;9897.9;832756.7851;;;
0;0;3435.391;0;5716.183;64;0;2830.92;1525.26;6082;5163;8532.9;700464.829;;;
0;2353.59;4163.852;0;5223.67;0;0;3440.16;3490.38;6152;10066;5545.3;929282.3229;;;
0;2864.535;2797.201;0;6399.349;0;0;4104;2346.84;9243;16531;3233.1;802119.2332;;;
866.25;3805.764;4448.974;0;6635.033;0;0;4368.96;1233.288;12050;13036;5529.3;1025297.842;;;
2959.2;1285.47;3622.47;0;3333.757;0;0;1742.4;512.88;8750;7099;13058.7;827036.713;;;
0;0;4091.943;0;3052.056;0;0;761.52;1679.76;6539;14420;9623.1;848093.1432;;;
