L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Heat;;;
0;0;3059.468;0;5103.84;0;193.752;986.4;2051.46;5894;3600;11255.5;584696.0804;;;
0;0;3690.012;0;2767.212;275.2;424.8;2023.44;1803.6;4200;9371;16513.5;890612.5994;;;
2218.65;353.97;4507.634;0;5547.444;0;373.08;1963.2;2862.36;14605;15856;11188.5;887677.406;;;
3158.55;3479.601;4045.126;0;7231.308;0;509.28;2261.76;4116.45;11868;15667;5221.2;882948.7063;;;
3055.2;3496.23;3563.384;0;2462.586;0;0;3180;3286.68;9449;14916;15260.8;1025298.444;;;
1161;3160.062;3001.553;0;5406.198;0;0;3347.28;2377.26;8652;10291;16432.8;1076730.114;;;
0;0;4416.257;0;6056.988;0;0;865.2;3291.15;3036;12912;15871.6;959871.578;;;
0;0;4109.004;0;5685.54;0;801.72;1073.76;3612.84;12690;9568;12371;701918.0555;;;
0;0;2345.002;0;6502.566;0;0;2845.92;6079.8;11317;10123;10753.2;727678.536;;;
0;763.83;3812.189;0;5618.256;40.8;0;3988.8;2985.672;8855;12740;9235.3;874233.0226;;;
1479.6;3138.879;4281.044;0;3950.142;81.5;395.64;4196.52;1090.008;8439;6326;15140.8;1108336.662;;;
2780.55;4028.772;4369.418;0;5802.804;138.5;372.48;1825.2;1608;9399;21116;15939.1;1181864.094;;;
3021.6;94.53;4370.611;0;6210.918;0;0;1814.4;3265.47;9227;15318;7041.7;1141037.604;;;
3893.4;0;4785.981;0;6714.54;0;0;1840.8;5621.76;12350;9603;18764.5;942375.3716;;;
321.15;1682.91;4039.801;0;6565.356;0;0;797.4;4134.3;6177;18550;5718.1;518719.7223;;;
3118.5;4216.452;4920.13;0;4741.043;0;0;4136.16;3103.32;11346;8680;0;2096920.24;;;
497.55;456.78;2195.412;0;3378.425;0;0;1351.32;2429.43;3790;7433;1372.5;1266010.904;;;
0;0;3795.66;0;4049.365;0.9;0;3121.2;790.74;12199;14674;14659.2;1419707.005;;;
0;1906.125;4066.895;0;5693.991;0;0;3450;1128.96;4922;12656;12935.5;1307679.927;;;
0;2860.257;4395.808;0;6273.256;0;0;3261.6;1439.016;5963;8360;15990.1;1047299.29;;;
0;0;4925.582;0;6213.901;0;0;0;2556.954;5874;12474;16492.7;945975.9221;;;
0;2352.21;3657.253;0;5886.258;0;0;2048.16;3083.4;10437;5580;7439.7;864470.6425;;;
0;2504.01;4389.504;0;6091.236;0;200.664;3200.88;2403.78;5856;22826;3109.3;645683.2663;;;
0;3256.8;2191.855;0;7030.705;206.3;0;3715.32;1230.24;8938;15001;11995;768002.6433;;;
0;1894.05;3781.688;0;3678.346;0;0;2911.8;4496.28;13790;9800;11019.9;804299.6427;;;
0;1769.85;3932.236;0;4731.441;0;592.2;3901.44;5692.2;6650;4009.2;12627.5;832323.3956;;;
2751.6;3588;4499.263;0;6803.817;0;0;3818.16;1576.44;11983;22120;14349.7;946555.0027;;;
2754.3;0;4534.323;0;6512.571;0;0;0;1862.64;4773;14000;15788.3;912783.7845;;;
3042;0;3397.691;0;6408.912;163.5;0;1752;2467.74;10059;11063;13682.9;1042026.943;;;
2717.55;213.141;3490.559;0;3376.904;0;0;2036.52;5793;6921;0;6927.7;1053214.619;;;
2972.7;2030.601;2662.735;0;4932.438;0;0;1830;2856.33;8476;0;4695.5;1180677.13;;;
1041.45;1790.067;4054.839;0;5218.5;306;0;2062.32;2930.88;11743;8065;18376.6;834616.6073;;;
0;2369.46;3964.101;0;5766.642;366.5;0;2629.2;4068.15;12720;10531;19412.4;982850.2607;;;
0;2737.851;4106.363;0;6409.284;0;0;3434.76;2798.82;6206;11550;14804.3;1086129.039;;;
0;1266.357;3895.983;0;6668.844;0;0;0;1950.348;15575;8680;15418;1010559.922;;;
793.8;0;3792.295;0;3787.056;0;0;1977.72;1653.12;2976;15862;14911.5;1201747.897;;;
3075.45;1812.63;3006.367;0;2512.692;0;402;1953.6;1826.64;8910;6953;5766.9;1104117.112;;;
2933.7;1863;2204.422;0;6912.276;359.5;0;3455.52;2847.72;8134;20871;12562.6;1041706.488;;;
3315.3;3542.322;2304.553;0;6895.602;173.5;0;2273.76;636.6;12154;9482;16587.3;1100852.255;;;
1467.9;3396.87;4101.933;0;7087.458;0;0;3794.4;1113.24;14754;13338;3591.4;905965.8371;;;
0;3764.778;4175.205;0;6553.89;0;0;3622.44;3475.68;16038;13555;17397.1;1097888.628;;;
1455.15;0;4542.182;0;3514.142;0;0;0;2398.56;5626;14514;17683.4;917481.2684;;;
3467.85;0;4410.165;0;5820.649;0;0;1200;1913.22;2951;13230;17581;1207829.948;;;
3476.4;1851.891;3938.52;0;6325.669;0;0;3182.4;3372.72;9290;12943;16424.3;1174631.847;;;
0;3376.86;3723.495;0;5041.652;389.4;0;2538.84;2758.56;9064;18631;16372.5;1219491.204;;;
3175.2;946.473;4434.106;0;6395.637;436;0;2634;4558.5;9366;10420;12760;419473.0732;;;
3714.45;1601.49;4812.607;0;5702.303;402;0;3225.84;5731.83;9086;12550;0;602798.6114;;;
0;1247.52;2816.073;0;1247.52;0;0;7015.8;0;12666;2484;3128.1;819982.0203;;;
0;0;4083.955;0;0;0;0;643.68;5513.88;5975;18869;15791.6;1010559.922;;;
0;0;2110.574;0;0;0;0;2268.6;3817.488;6014;10174;11389.5;704055.5975;;;
1786.8;1359.921;4567.423;0;1359.921;0;407.88;542.4;1436.112;12603;15537;15805.7;890639.7936;;;
3450.9;3679.632;4261.363;0;3679.632;413;385.8;2726.4;1885.8;9159;15020;10680.7;1061188.314;;;
2135.4;3408.186;4072.965;0;3408.186;52;196.992;3900.24;1807.68;12707;19644;15997.9;954497.8835;;;
1976.4;4082.73;3803.03;0;4082.73;325.4;0;2187.24;2053.32;13312;11998;7179.8;785380.286;;;
3447.15;0;3827.12;0;0;0;0;3246.36;1721.34;3239;16585;6263.2;833788.2777;;;
0;0;4126.599;0;0;0;0;0;2311.02;6264;14952;11731.8;869043.2684;;;
0;0;3058.403;0;0;132;409.08;2635.08;2810.19;12348;16166;15060;878102.0269;;;
491.4;1690.569;4079.653;0;1690.569;540;804.48;3226.44;2003.88;9544;7521;16024;811213.3098;;;
3463.5;3334.77;4165.344;0;3334.77;255;802.68;2008.92;3560.01;7761;16329;13910.4;895391.7376;;;
3658.5;2061.72;4020.758;0;2061.72;0;0;3241.2;4525.74;6256;18014;12270.5;1025180.418;;;
1544.55;0;2946.195;0;0;541;0;2977.08;4173.84;15425;12296;6634.9;997696.6616;;;
1800.6;3243.483;4366.479;0;3243.483;120;0;3290.64;5267.64;9859;14820;17587.8;1244357.574;;;
0;0;3892.532;0;0;0;0;0;0;9269;21199;18825.5;886089.406;;;
0;2067.102;2602.774;0;2067.102;0;0;1835.04;1384.08;15506;6024;11382.7;857988.087;;;
0;3613.944;4275.805;0;3613.944;150;0;3149.64;976.5;6112;10441;3466.4;1040877.154;;;
2633.7;0;3667.519;0;0;247.9;0;2664;1250.73;8989;15568;17942.5;971992.3486;;;
3567.75;3415.638;3869.912;0;3415.638;0;0;1850.76;4357.26;11711;12995;17901.2;1168664.068;;;
1571.25;3128.391;4606.444;0;3128.391;322;0;1707.84;3118.26;12274;19870;8089.8;1100171.057;;;
2296.35;3188.421;4172.372;0;3188.421;78.3;0;0;4679.88;12884;19066;18304.4;1104241.433;;;
0;2972.313;4596.412;0;2972.313;0;0;0;4862.7;3905;16770;21670.7;1234116.792;;;
0;1456.728;2992.906;0;1456.728;0;0;0;3260.52;12260;0;3604;889662.0899;;;
0;0;4376.788;0;0;231.3;0;0;2507.82;9232;19249;12264.9;683961.9341;;;
2938.2;3064.221;4017.287;0;3064.221;388;182.232;265.68;2391.12;8517;9393;15806.6;785885.2464;;;
3303.75;3537.285;2134.771;0;3537.285;299.3;595.8;2179.32;4444.44;6426;17440;11857.9;884458.6669;;;
4040.55;3239.619;0;0;3239.619;377.8;746.4;2271;5306.04;12577;15222;15226.8;901105.343;;;
933.75;2734.47;0;0;2734.47;0;0;4141.32;3519.48;6229;18095;18006.6;738902.3834;;;
0;3320.556;1747.239;0;3320.556;0;0;0;3275.28;6367;5947;14854;405703.5482;;;
3312.3;2648.358;5358.612;0;2648.358;418;0;2394.48;3220.848;9841;16463;12033.2;751259.6759;;;
2203.35;0;3038.53;0;3375.923;185.8;0;1757.52;1655.64;12934;12773;1702.5;1072644.865;;;
3344.7;1366.2;2988.219;0;7014.122;0;411.6;2601.48;5105.55;18331;14936;17307.4;971548.6433;;;
1428.9;2783.874;2106.272;0;5932.7;219.4;378.96;2928.36;1239;9290;11185;13900.3;961770.1032;;;
1675.5;2998.947;3757.767;0;6104.43;450;0;2958.48;1649.508;6386;15730;17030.3;1006612.528;;;
3622.5;2935.467;4858.445;0;6569.948;279;0;2623.08;2378.784;6340;18181;16814.8;992065.2444;;;
1826.25;0;3881.499;0;6848.686;0;0;0;3041.88;6139;13350;11397;938524.7047;;;
0;0;4021.993;0;5191.835;0;0;2637.12;1461.39;5959;8160;3454.6;677438.7208;;;
0;0;3777.449;0;1240.319;0;0;2157.96;1288.23;12107;11980;10553.5;855381.9233;;;
3309;3457.797;4183.98;0;2906.976;287.9;0;2150.16;2011.47;10195;11650;15624.8;831438.7979;;;
3156.6;3640.578;3033.674;0;6296.295;181.5;0;2583.6;0;6399;15497;13595.6;865856.0812;;;
0;2926.221;3755.957;0;6460.721;406.5;0;2102.4;4.65;12241;10163;11248.1;884579.8433;;;
1750.35;2518.5;3510.751;0;6596.862;0;0;4045.8;0;16201;16159;12581.2;1199151.039;;;
1755.6;0;3399.608;0;6033.656;0;0;0;0;5982;12853;14746.6;688736.8555;;;
0;0;3979.308;0;5876.131;0;355.08;2229;480;6018;15121;15547.6;715077.823;;;
2053.8;0;1933.614;0;4479.657;378.6;437.64;2936.64;0;12377;7200;6382.1;478521.3455;;;
3573.15;2959.341;3501.038;0;4705.133;0;0;3211.68;2130.96;12393;19280;8496.5;898644.9724;;;
3080.85;3172.275;3950.448;0;5476.302;390;197.352;2390.52;3878.01;5885;20319;11807.7;1018219.461;;;
3620.4;3525.693;4172.478;0;6445.388;181;0;1837.92;3093.9;12057;16023;10455.5;947104.2073;;;
3493.05;3034.206;4479.22;0;4301.794;230;0;2958.12;1034.58;6245;15526;14357.7;1034061.15;;;
1277.7;3353.4;4926.178;0;4751.796;0;0;0;1811.04;9886;10339;12448;928929.7845;;;
0;0;4244.728;0;5598.18;380;0;2539.44;1548.12;12089;12624;15091.3;660876.2238;;;
2737.2;304.29;2966.174;0;6504.456;480.5;600.6;2883.6;3486.3;6313;8084;19033.3;1005739.924;;;
3368.25;3198.909;4342.133;0;3073.476;0;598.44;4890.12;1437.168;6460;20700;9002.5;841475.4819;;;
3555.15;3521.07;4003.016;0;5593.938;0;409.32;3186.96;2765.61;18558;13120;10695.8;1037309.762;;;
3322.5;3165.927;4291.801;0;7091.574;0;0;3473.76;3536.34;6212;13768;16045.4;757212.451;;;
